page,bonus_1,bonus_2,bonus_3,bonus_4,bonus_5,bonus_6,bonus_7,bonus_8,bonus_9,bonus_10,bonus_11,bonus_12,Trail.1,Online Update.type,ESO Sets With.1,ESO Sets With.3,ESO Sets With.2,ESO Sets With.4,ESO Sets With.5,ESO Sets With.settype,ESO Sets With.6,ESO Sets With.source,ESO Sets With.7,ESO Sets With.8,ESO Sets With.9,ESO Sets With.10,ESO Sets With.11,Mod Header.1,ESO Sets With.dlc,ESO Sets With.12,ESO Weapon Damage Link.3,ESO Health Link.1,ESO Sets With.13,ESO Stamina Link.1,ESO Magicka Link.1,Item Link.quality,ESO Sets With.14,Item Link.id,Item Link.summary,Item Link.1,about.1,about.2,about.3,ESO Magicka Link.2,ESO Stamina Link.2,ESO Sets With.15,Place Link.1,ESO Sets With.dungeon,ESO Sets With.chest,ESO Sets With.boss,Item Link.2,icon.1,icon.2,ESO Quality Color.1,ESO Quality Color.2,ESO Ultimate Link.1,icon.al
Online:Perfected Vestment of Olorime,,Adds 3-129 Magicka Recovery,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Magicka Recovery 5 perfected items: Adds 25-1096 Maximum Magicka,"Casting abilities that leave an effect on the ground in combat will create a circle of might for 5 seconds. You and your group members in the circle gain Major Courage for 20 seconds, increasing your Weapon Damage and Spell Damage by 430 for 20 seconds. This effect can occur once every 10 seconds.",,,,,,,,Sets,itemset,Magicka Recovery,Double Magicka Recovery,Minor Aegis,Maximum Magicka,Skill Bonus,Light Armor,Area of Effect Bonus,Cloudrest,Area of Effect,Group Bonus,Major Courage,5-Piece Bonus,Light Armor,Summerset,Summerset,Any Weapon,y,,Jewelry,,3-129,,Welkynar Style,,,,,,,Recovery,,,,,,,,,,,,,
Online:Perfected Virulent Shot,,Scatter Shot applies a damage over time effect that deals 65% of your initial attack as Poison Damage every 2 seconds for 4 seconds. The duration increases if you are farther away from your target to a maximum of 12 seconds.,,,,,,,,,,,Sets,itemset,Weapon/Spell Critical,Bow Bonus,Skill Bonus,Poison Damage,Damage Over Time,Weapon,Distance Bonus,Blackrose Prison,2-Piece Bonus,Bow,Honor Guard Style,,,Murkmire,Murkmire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Void Bash,,"When you deal damage with Power Bash, you apply Call of the Void to yourself for 2 seconds. Enemies within 12 meters are immediately pulled to you. After Call of the Void ends, you apply Major Maim to enemies in the area for 10 seconds, reducing their damage done by 10%. This effect can occur once every 13 seconds.",,,,,,,,,,,Sets,itemset,Maximum Health,Distance Bonus,Skill Bonus,Pull,Area of Effect,Weapon,Major Maim,Vateshran Hollows,2-Piece Bonus,One Handed Weapon,Shield,Ancestral Reach Style,,Markarth,Markarth,,,22-965 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Vrol's Command,,Adds 25-1096 Maximum Stamina,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 28-1206 Maximum Health 5 perfected items: Adds 4% Healing Taken,"After completing a fully-charged Heavy Attack, apply Major Aegis to you and up to 11 nearby group members for 12 seconds, reducing damage taken from Dungeon, Trial, and Arena enemies by 10%. This effect can occur once every 21 seconds.",,,,,,,,Sets,itemset,Maximum Stamina,Maximum Health,Minor Aegis,Increase Healing Received,Heavy Attack Bonus,Heavy Armor,Group Bonus,Kyne's Aegis,Full Group Bonus,Distance Bonus,Major Aegis,5-Piece Bonus,Heavy Armor,Greymoor,Greymoor,Any Weapon,,28-1206 Maximum,Jewelry,25-1096 Maximum,,,Sea Giant Style,,,,,,,,,,,,,,,,,,,,
Online:Perfected Whorl of the Depths,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage 5 perfected items: Adds 15-657 Critical Chance,"When you deal damage with a Light Attack, you apply Whorl of the Depths to the target, dealing 1016 Frost Damage over 8 seconds. When this effect ends, a 5 meter whirlpool is created under the target for 6 seconds and deals 764 Frost Damage every 1 second. This effect can occur once every 18 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Minor Slayer,Weapon/Spell Critical,Weapon/Spell Critical,Light Armor,Light Attack Bonus,Dreadsail Reef,Frost Damage,Damage Over Time,Area of Effect,5-Piece Bonus,Light Armor,High Isle,High Isle,Any Weapon,y,,Jewelry,,,,Syrabanic Marine Style,,,,,,,,,,,,,,,,,,,,
Online:Perfected Wild Impulse,,"Reduce the cost of Impulse by 10%. Impulse places lingering elemental damage on your targets, dealing 605 Flame, 605 Shock, and 605 Frost Damage over 8 seconds. Each element ticks once over the duration and its damage scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Skill Bonus,Reduce Magicka Cost,Flame Damage,Shock Damage,Weapon,Frost Damage,Blackrose Prison,Damage Over Time,2-Piece Bonus,Destruction Staff,Honor Guard Style,,Murkmire,Murkmire,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Wrath of Elements,,"Casting Weakness to Elements on a target within 15 meters of you causes a surge of elemental energy to tether between you for 10 seconds. While the tether persists, enemies touching the tether take 331 Flame Damage, 331 Shock Damage, or 331 Frost Damage every 1 second, which increases by 1% each time it deals damage, up to 20%. This effect can occur once every 10 seconds, and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Distance Bonus,Skill Bonus,Area of Effect,Damage Over Time,Weapon,Tether,Vateshran Hollows,Flame Damage,Shock Damage,Frost Damage,2-Piece Bonus,Destruction Staff,Markarth,Markarth,Ancestral Reach Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Xoryn's Masterpiece,,Adds 25-1096 Maximum Magicka,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Magicka Recovery 5 perfected items: Adds 25-1096 Maximum Magicka,Increases Max Magicka and Max Stamina by 1667 for you and up to 11 other group members within 28 meters of you. This bonus persists through death.,,,,,,,,Sets,itemset,Maximum Magicka,Magicka Recovery,Minor Aegis,Double Maximum Magicka,Group Bonus,Light Armor,Full Group Bonus,Lucent Citadel,Distance Bonus,Triple Maximum Magicka,Maximum Stamina,5-Piece Bonus,Light Armor,Gold Road,Gold Road,Any Weapon,,,Jewelry,Max,25-1096 Maximum,,Lucent Sentinel Style,,,,,,,Recovery,,,,,,,,,,,,,
Online:Perfected Yandir's Might,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage 5 perfected items: Adds 3-129 Weapon Damage and Spell Damage,"Dealing Critical Damage increases your Weapon Damage and Spell Damage by 2-86, stacking up to 5 times. This effect can occur once every 0.5 seconds. Completing a fully-charged Heavy Attack removes all stacks and increases your Weapon Damage and Spell Damage by 3-136 per stack removed. You cannot have both effects active at the same time.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Minor Slayer,Physical/Spell Penetration,Physical/Spell Penetration,Medium Armor,Critical Damage Bonus,Kyne's Aegis,Triple Weapon/Spell Damage,Heavy Attack Bonus,5-Piece Bonus,Medium Armor,Any Weapon,Greymoor,Greymoor,Jewelry,y,,Sea Giant Style,,,,,,,,,,,,,,,,,,,,,,,,
Online:Permafrost,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Magicka,Adds 3-129 Magicka Recovery,"While you have a damage shield on you, your Health Recovery is increased by 25-1106.",,,,,,,,Sets,itemset,Maximum Health,Magicka Recovery,Maximum Magicka,Damage Shield Bonus,Health Recovery,Heavy Armor,5-Piece Bonus,Maelstrom Arena (place),Heavy Armor,Any Weapon,Jewelry,Reach Winter Style,Unique Style,Orsinium,Orsinium,,,28-1206 Maximum,,,25-1096 Maximum,,,,,,the item set,the morph of Sleet Storm,Permafrost (morph),Recovery,,,,,,,,,,,,,
Online:Pestilent Host,,Adds 34-1487 Offensive Penetration,Adds 25-1096 Maximum Stamina,Adds 3-129 Weapon Damage and Spell Damage,"Whenever you kill an enemy afflicted with a poison effect, their corpse releases a writhing mass of Fetcherflies, which seek out the nearest enemy within 12 meters, causing them to bleed for 5850 Bleed damage over 10 seconds. This effect scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Physical/Spell Penetration,Weapon/Spell Damage,Maximum Stamina,Double Physical/Spell Penetration,Double Physical/Spell Penetration,Medium Armor,Kill Bonus,Vateshran Hollows,Negative Effect Bonus,Poison Damage Bonus,Distance Bonus,Bleed Damage,Damage Over Time,Markarth,Markarth,5-Piece Bonus,y,,Medium Armor,25-1096 Maximum,,,Any Weapon,,,,,,,,,Jewelry,,,,,,,,,,,
Online:Phoenix,,Adds 3-129 Weapon Damage and Spell Damage,Adds 9-424 Critical Resistance,Adds 3-129 Weapon Damage and Spell Damage,"When you take damage while below 25% Health, gain a damage shield that absorbs 581-25000 damage for 10 seconds and deals 1006 Flame Damage to nearby enemies. This effect can occur once every 1 minute and the damage scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Maximum Magicka,Weapon/Spell Damage,Magicka Recovery,Near Death Effect,Damage Shield,Light Armor,Flame Damage,Tel Var Merchants,Area of Effect,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Imperial City,,Alliance Style,y,25%,Tel Var Cost,,,,,,,,,,,,,,,,,,,,,,,,
Online:Phoenix Moth Theurge,,Adds 3-129 Stamina Recovery,Adds 3-129 Stamina Recovery,Adds 25-1096 Maximum Stamina,"Healing yourself or an ally grants the target Minor Courage and Minor Force for 10 seconds, increasing their Weapon Damage and Spell Damage by 215 and their Critical Damage done by 10%. This effect can occur once every 12 seconds per target.",,,,,,,,Sets,itemset,Stamina Recovery,Maximum Stamina,Double Stamina Recovery,Healing Bonus,Minor Courage,Medium Armor,Minor Force,Galen,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Firesong Style,Firesong,Firesong,,y,,,3-129,,,,,,,,,,,Recovery,,,,,,,,,,,,
Online:Phylactery's Grasp,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,"On Light Attack Critical Damage, you apply Withered Soul, dealing 1500 Disease damage over 10 seconds. On Light Attack Critical Damage on an enemy with Withered Soul, restore 13-575 Stamina. Withered Soul can occur once every 10 seconds and the damage scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Weapon/Spell Critical,Double Weapon/Spell Critical,Light Attack Bonus,Medium Armor,Critical Damage Bonus,Graven Deep,Damage Over Time,Disease Damage,Negative Effect Bonus,Restore Stamina,5-Piece Bonus,Lost Depths,Lost Depths,Medium Armor,y,,Any Weapon,13-575,,,Jewelry,,,,,,,,,,,,,,,,,,,,
Online:Piercing Spray,,"When you deal damage with Arrow Spray, you cause enemies hit to have 153-6600 less Armor against Bow attacks for 10 seconds.",,,,,,,,,,,Sets,itemset,Skill Bonus,Reduce Enemy Defense,Bow Bonus,Negative Effect Bonus,2-Piece Bonus,Weapon,Bow,Asylum Sanctorium,Asylum Style,,,,,Clockwork City,Clockwork City,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Pillager's Profit,,Adds 4% Healing Done,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 25-1096 Maximum Magicka,Casting an Ultimate ability while in combat grants 2% of Ultimate spent as Ultimate to up to 11 other group members within 12 meters every 2 seconds over 10 seconds. Group members can only be affected by this set once every 45 seconds.,,,,,,,,Sets,itemset,Increase Healing Done,Maximum Magicka,Minor Aegis,Ultimate Bonus,Group Bonus,Light Armor,Full Group Bonus,Dreadsail Reef,Distance Bonus,Ultimate Gain,5-Piece Bonus,Light Armor,Any Weapon,High Isle,High Isle,Jewelry,,,Syrabanic Marine Style,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Pillar of Nirn,,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,"When you deal damage, you create a fissure underneath the enemy after 1 second, dealing 803 Bleed damage to all enemies within 2.5 meters and causing them to bleed for an additional 2405 Bleed damage over 10 seconds. This effect can occur once every 10 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Double Weapon/Spell Critical,Weapon/Spell Damage,Bleed Damage,Medium Armor,Area of Effect,Falkreath Hold,Damage Over Time,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Horns of the Reach,Horns of the Reach,Dreadhorn Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Pirate Skeleton,Adds 34-1487 Armor,"When you take damage, you transform into a skeleton and gain Major Protection and Minor Defile for 15 seconds, reducing your damage taken by 10% but reducing your healing received and damage shield strength by 6%. This effect can occur once every 20 seconds.",,,,,,,,,,,Sets,itemset,Physical/Spell Resistance,Major Protection,Counterattack,Drawbacks,Minor Defile,Monster Helm Sets,Undaunted Style,Blackheart Haven,2-Piece Bonus,Head and Shoulders,,,,,,,,,,,,,,,,,the item set,the enemy,Captain Blackheart,,,,,Blackheart Haven,Glirion the Redbeard,Captain Blackheart,,,,,,,
Online:Plague Doctor,,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 65-2804 Maximum Health,,,,,,,,Sets,itemset,Maximum Health,Triple Maximum Health,Double Maximum Health,Quadruple Maximum Health,5-Piece Bonus,Heavy Armor,Heavy Armor,Deshaan,Any Weapon,Jewelry,Breton Style,,,,,,,28-1206 Maximum,,Maximum,Maximum,2,,4305,1,Dres Dirk,,,,,,,,,,,,,,,,,
Online:Plague Slinger,,Adds 3-129 Weapon Damage and Spell Damage,Adds 28-1206 Maximum Health,Adds 3-129 Weapon Damage and Spell Damage,"When you take damage, summon a Skeever corpse which will launch five poison balls over 5 seconds that each deal 737 Poison damage to the nearest enemy within 10 meters. This effect can occur once every 8 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Maximum Health,Counterattack,Distance Bonus,Medium Armor,Poison Damage,Scalecaller Peak,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Dragon Priest Style,Dragon Bones,Dragon Bones,,y,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Plaguebreak,,Adds 34-1487 Offensive Penetration,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,"Dealing direct damage causes player enemies to become a Plague Carrier, dealing 1000 Disease damage over 10 seconds and applying the Diseased status effect. If the plague is removed early it explodes and deals 735 Disease damage to all enemies within 8 meters of the carrier, increasing by 50% per enemy hit. This effect can occur once every 20 seconds per target, once per attack, and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Physical/Spell Penetration,Weapon/Spell Damage,Weapon/Spell Damage,Double Weapon/Spell Damage,PvP Bonus,Medium Armor,Direct Damage Bonus,Elite Gear Vendors,Disease Damage,Damage Over Time,Area of Effect,Multiple Targets Hit Bonus,5-Piece Bonus,,,Medium Armor,y,,Any Weapon,,,,Jewelry,,,,,,,,,Alliance Style,,,,,,,,,,,
Online:Point-Blank Snipe,,Increases your damage done with Snipe based on how close you are to your target. Max Damage: 33% at 3 meters. Minimum Damage: 5% at 18.5 meters.,,,,,,,,,,,Sets,itemset,Skill Bonus,Distance Bonus,Bow Bonus,2-Piece Bonus,Bow,Weapon,Ancestral Reach Style,Vateshran Hollows,,,,,,Markarth,Markarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Poisonous Serpent,,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,"When you deal damage with a Light or Heavy Attack against an enemy who has a Poison Damage ability on them, you deal an additional 48 Poison damage and apply the Poisoned status effect to the enemy. This effect can occur once every 2 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Maximum Stamina,Double Maximum Stamina,Weapon/Spell Damage,Negative Effect Bonus,Light Attack Bonus,Medium Armor,Heavy Attack Bonus,Hel Ra Citadel,Poison Damage,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,,,Celestial Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Powerful Assault,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 3-129 Weapon Damage and Spell Damage,"When you cast an Assault ability while in combat, you and up to 5 group members within 12 meters gain 7-307 Weapon Damage and Spell Damage for 15 seconds.",,,,,,,,Sets,itemset,Maximum Health,Weapon/Spell Damage,Maximum Stamina,Skill Bonus,Group Bonus,Medium Armor,Distance Bonus,Tel Var Merchants,Double Weapon/Spell Damage,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Imperial City,,Alliance Style,y,28-1206 Maximum,Tel Var Cost,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Prayer Shawl,,Adds 25-1096 Maximum Magicka,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Magicka Recovery,"When you overheal yourself or an ally, you grant them a damage shield that absorbs 116-4997 damage for 6 seconds. This effect can occur once every 2 seconds.",,,,,,,,Sets,itemset,Maximum Magicka,Magicka Recovery,Weapon/Spell Damage,Healing Bonus,Damage Shield,Light Armor,5-Piece Bonus,Spindleclutch,Light Armor,Any Weapon,Jewelry,Dark Elf Style,,,,,y,,,,25-1096 Maximum,3,,10067,1,,,,,Recovery,,,,,,,Chain of the Coven,,,,,,
Online:Precise Regeneration,,"When your Regeneration critically strikes, you restore 12-558 Magicka. This effect cannot occur from simultaneous critical strikes.",,,,,,,,,,,Sets,itemset,Skill Bonus,Restore Magicka,Critical Healing Bonus,2-Piece Bonus,Restoration Staff,Weapon,Dwemer Style,Maelstrom Arena (place),,,,,,Orsinium,,,,,,,12-558,,,,,,,,,,,,,,,,,,,,,,
Online:Prior Thierric,Adds 3-129 Weapon Damage and Spell Damage,Dealing direct damage with an area of effect ability creates a 6 meter shadowy whirlwind below your enemy for 7 seconds. Enemies within the whirlwind take 283 Physical damage each second and increase their damage taken from your area of effect abilities by 5%. This effect can occur once every 15 seconds and scales off the higher of your Weapon Damage and Spell Damage.,,,,,,,,,,,Sets,itemset,Weapon/Spell Damage,Area of Effect Bonus,Direct Damage Bonus,Area of Effect,Damage Over Time,Monster Helm Sets,Physical Damage,Red Petal Bastion,Reduce Enemy Defense,Increase Area of Effect Damage,Undaunted Style,2-Piece Bonus,Head and Shoulders,Waking Flame,Waking Flame,,y,,,,,,,,,,the item set,the enemy,Prior Thierric Sarazen,,,,,Red Petal Bastion,Urgarlag Chief-bane,Prior Thierric Sarazen,,,,,,,
Online:Prisoner's Rags,,Adds 25-1096 Maximum Stamina,Adds 3-129 Stamina Recovery,Adds 3-129 Stamina Recovery,"Reduces the cost of Sprint by 50%. While Sprinting, restore 24-1035 Magicka every 1 second.",,,,,,,,Sets,itemset,Maximum Stamina,Double Stamina Recovery,Stamina Recovery,Reduce Sprint Cost,Sprint Bonus,Light Armor,Restore Magicka,Coldharbour,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Soul-Shriven Style,,,,,,,25-1096 Maximum,24-1035,2,,15743,1,,the item set,the motif,Prisoner's Rags Style,,Recovery,,,,,,,,,,,,
Online:Prophet's,Adds 28-1206 Maximum Health,,,,,,,,,,,,Sets,itemset,Maximum Health,Any Weapon,1-Piece Bonus,Light Armor,Medium Armor,,Heavy Armor,,Jewelry,,,,,,,,,28-1206 Maximum,,,,f,,134958,,Prophet's Inferno Staff,,,,,,,,,,,,,,f,fine,,
