page,Online Skill Summary.line,Online Skill Summary.desc,Online Skill Summary.icon,Online Skill Summary.id,ESO Patch Note.1,ESO Patch Note.2,ESO Skills With.1,Online Skill Summary.type,ESO Skills With.2,Online Skill Summary.desc2,ESO Skills With.3,Online Skill Summary.linerank1,Online Skill Summary.linerank,Online Skill Summary.cost,Online Skill Summary.target,Online Skill Summary.casttime,ESO Skills With.4,Online Skill Summary.linerank2,Online Skill Summary.image,Online Skill Summary.imgdesc,Online Skill Summary.id1,Online Skill Summary.id2,Online Skill Summary.desc1,Online Skill Summary.morph1name,Online Skill Summary.morph1id,Online Skill Summary.morph1desc,Online Skill Summary.morph2name,Online Skill Summary.morph2id,Online Skill Summary.morph2icon,Online Skill Summary.morph2desc,Online Skill Summary.morph1icon,ESO Skills With.5,Mod Header.1,Online Skill Summary.duration,ESO Skills With.6,Online Skill Summary.attrib,Online Skill Summary.range,ESO Skills With.7,Online Skill Summary.radius,ESO Companion Skills With.1,ESO Companion Skills With.2,ESO Skills With.8,Online Skill Summary.desc3,Online Skill Summary.linerank3,Online Skill Summary.id3,ESO Skills With.9,ESO Companion Skills With.3,ESO Health Link.1,Online Skill Summary.area
Online:Imbue Weapon,Psijic Order,"Infuse your weapon with power, causing your next Light Attack used within 2 seconds to deal an additional [5532 / 5591 / 5652 / 5712] Physical Damage. If the power is not consumed in time, you restore 1620 Stamina.",Psijic Order-Imbue Weapon,40103483,4.1.5,"* Fixed an issue where this ability and its morphs were removing you from sneak when cast. * Fixed an issue where this ability and its morphs were not playing their visual effects or audio if you were unarmed. * Crushing Weapon (morph): Fixed an issue where this would heal based on the damage done from the Light Attack, and not the damage done by Crushing Weapon itself.",Physical Damage,,Restore Stamina,"Infuse your weapon with power, causing your next Light Attack used within 2 seconds to deal an additional [5715 / 5778 / 5841 / 5903] Physical Damage and applying Major Breach to the target, reducing their Physical Resistance and Spell Resistance by 5948 for 5 seconds. If the power is not consumed in time, you restore 1620 Stamina.",Magic Damage,,3,2700 Stamina,Self,Instant,Apply Status Effect,,On-skill-Imbue Weapon.jpg,Imbue Weapon applied to a destruction staff.,,,"Cost: 2700 Magicka. Infuse your weapon with power, causing your next Light Attack used within 2 seconds to deal an additional [5715 / 5778 / 5841 / 5903] Magic Damage and apply the Burning, Concussion, or Chill elemental status effect. If the power is not consumed in time, you restore 1620 Magicka.",Elemental Weapon,40103571,Converts into a Magicka ability and deals Magic Damage. Applies a random status effect.,Crushing Weapon,40103623,Psijic Order-Crushing Weapon,"Applies Major Breach to the enemy, reducing their Physical Resistance and Spell Resistance.",Psijic Order-Elemental Weapon,Restore Magicka,Summerset,2 seconds,Reduce Armor,Stamina,,Stamina Cost,,,,Magicka Cost,,,,,,,
Online:Impaling Shards,Winter's Embrace,"Conjure icy shards around you to skewer enemies in the area, dealing [392 / 396 / 400 / 404] Frost Damage every 1 second for 12 seconds. Enemies hit are overcome with bitter cold, reducing their Movement Speed by 30% for 3 seconds. Damage done is based on your Max Health, and has a higher chance to apply the Chilled status effect.",Winter's Embrace-Impaling Shards,86164,3.1.5,"* In an effort to reduce the visual effect noise in group combat situations, we've hidden most visual effects from persistent damaging area of effect abilities cast by your allies. Area of effect abilities that have a synergy, healing, or defensive component that can benefit you will still be visible, and area of effect abilities cast by enemies will also still be visible.",Frost Damage,,Area of Effect,"Range: 28 meters, Target: Ground. Conjure icy shards at the target location to skewer enemies in the area, dealing [779 / 787 / 796 / 803] Frost Damage every 1 second for 12 seconds. This damage increases by 30% if cast with a Destruction Staff equipped. Enemies hit are overcome with bitter cold, reducing their Movement Speed by 30% for 3 seconds. This ability has a higher chance to apply the Chilled status effect.",Damage Over Time,,4,3240 Magicka,Area,Instant,Reduce Movement Speed,,ON-skill-Impaling Shards.jpg,Impaling Shards and its morphs' visual,,,"Cost: 2970 Magicka. Conjure icy shards around you to skewer enemies in the area, immobilizing them for 3 seconds and dealing [405 / 409 / 413 / 418] Frost Damage every 1 second for 12 seconds. Enemies hit are overcome with bitter cold, reducing their Movement Speed by 30% for 3 seconds. Damage done is based on your Max Health and has a higher chance to apply the Chilled status effect.",Gripping Shards,86168,Immobilizes enemies around you when cast and reduces the cost.,Winter's Revenge,86172,Winter's Embrace-Winter's Revenge,Summons at targeted location instead of around you. Deals damage based on your offensive stats rather than Max Health.,Winter's Embrace-Gripping Shards,Increase Debuff Chance,Crown Store,12 seconds,Immobilize,Magicka,,Magicka Cost,,,,,,,,,,Maximum,6 meters
Online:Impeccable Shot,Deadly Assassin,"Mirri Elendis marks an enemy and exposes their weakness, causing them to take 20% more damage for 3 seconds. While the enemy is exposed they build up to a single killing shot, unleashing a massive bolt that deals 18540 Physical Damage.",Companion-Impeccable Shot,157259,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,20,200 Ultimate,Enemy,3 seconds,,,,,,,,,,,,,,,,,Blackwood,3 seconds,,,20 meters,,,Increase Damage Taken,Physical Damage,,,,,,Ultimate Cost,,
Online:Imperial Mettle,Imperial,Increases your Max Stamina by 600.,Imperial-Imperial Mettle,45280,4.3.5,* Conditioning: Gain 10% Max Stamina → Imperial Mettle: Increases your Max Stamina by 2000.,Passive Effect,Passive,Increase Max Stamina,Increases your Max Stamina by 1200.,,10,,,,,,20,,,36153,45279,,,,,,,,,,,Imperial Edition,,,,,,,,,,Increases your Max Stamina by 2000.,40,45280,,,,
Online:Implacable Outcome,Soldier of Apocrypha,"The will of an Arcanist is absolute. When you consume Crux, gain 2 Ultimate. This effect can occur once every 8 seconds.",Soldier of Apocrypha-Implacable Outcome,185058,,,Ultimate Gain,Passive,,"The will of an Arcanist is absolute. When you consume Crux, gain 4 Ultimate. This effect can occur once every 8 seconds.",,39,,,,,,50,,,185050,185058,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Implosion,Storm Calling,"When you deal Shock Damage, you have a 3% chance to instantly disintegrate enemies under 15% Health, dealing 7999 Shock Damage. When you deal Physical Damage, you have a 3% chance to instantly pulverize enemies under 15% Health, dealing 7999 Physical Damage.",Storm Calling-Implosion,45192,2.4.5,"* Disintegrate: ** Renamed this passive ability to Implosion. ** This passive ability now also grants all Physical Damage you deal a chance to instantly pulverize low health enemies, dealing additional Physical Damage to them. ** Updated this passive's tooltip to indicate what the health threshold is for it to trigger. * Fixed an issue where this passive ability could not critically strike.",,Passive,,"When you deal Shock Damage, you have a 6% chance to instantly disintegrate enemies under 15% Health, dealing 7999 Shock Damage. When you deal Physical Damage, you have a 6% chance to instantly pulverize enemies under 15% Health, dealing 7999 Physical Damage.",,22,,,,,,36,,,31422,45192,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Improved Hiding,Legerdemain,Reduces the cost of Sneak by 10%.,Legerdemain-Improved Hiding,63802,2.6.2,* Fixed an issue where skill points spent in this passive ability were being removed.,Passive Effect,Passive,Improve Stealth,Reduces the cost of Sneak by 20%.,Reduce Activity Cost,1,,,,,,6,,,63799,63800,,,,,,,,,,,,,,,,,,,,,Reduces the cost of Sneak by 30%.,11,63801,,,,
Online:Improved Sneak,Medium Armor,Reduces the cost of Sneak by 4% for each piece of Medium Armor equipped. Reduces the size of your detection area while Sneaking by 3% for each piece of Medium Armor equipped.,Medium Armor-Improved Sneak,45567,,,Passive Effect,Passive,Medium Armor Boost,Reduces the cost of Sneak by 7% for each piece of Medium Armor equipped. Reduces the size of your detection area while Sneaking by 5% for each piece of Medium Armor equipped.,Reduce Activity Cost,14,,,,,Improve Stealth,34,,,29738,45567,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Impulse,Destruction Staff,"Release a surge of elemental energy, dealing [4612 / 4662 / 4713 / 4764] Magic Damage to nearby enemies. Fire Impulse hits Burning enemies with Impulse Afterburn, which deals more damage based on their missing Health. Frost Impulse also provides Minor Protection. Shock Impulse's damage increases based on the number of enemies hit.",Destruction Staff-Impulse (Frost),42957,1.1.2,"* Increased the Magicka cost of Impulse and its morphs. * If you have spent skill points in the Impulse ability, you will have those points returned to your overall skill point pool. They can be re-spent in this ability, or invested elsewhere.",Fire Damage,,Frost Damage,"Release a surge of elemental energy, dealing 4764 Magic Damage to nearby enemies and afflicting them with Minor Mangle, reducing their Max Health by 10% for [7 / 8 / 9 / 10] seconds. Flame Pulsar hits Burning enemies with Pulsar Afterburn, which deals more damage based on their missing Health. Frost Pulsar also provides Minor Protection. Storm Pulsar's damage increases based on the number of enemies hit.",Shock Damage,,38,3780 Magicka,Area,Instant,Area of Effect,,ON-skill-Impulse (Shock).jpg,Impulse (Shock),,,"Range: 28 meters, Target: Ground. Release a surge of elemental energy, dealing [4764 / 4816 / 4868 / 4921] Magic Damage to enemies at the target location. Fire Ring hits Burning enemies with Ring Afterburn, which deals more damage based on their missing Health. Frost Ring also provides Minor Protection. Shock Ring's damage increases based on the number of enemies hit.",Elemental Ring,42975,Deals damage at a target location instead of around you.,Pulsar,42996,Destruction Staff-Pulsar,"Applies Minor Mangle to non-boss enemies, reducing their Max Health. Triples the innate chance to apply the respective status effect.",Destruction Staff-Elemental Ring,Status Effect Bonus,,,Execute,Magicka,,Reduce Damage Taken,6 meters,,,Group Bonus,,,,Multiple Targets Hit Bonus,,Maximum,
Online:Inexorable Descent,Class Mastery,"Be as the landslide. Let nothing stop you. Improves your Landslide passive to increase the potency of your damage done, healing done, and damage shield strength by 1% per stack.",Earthen Heart-Landslide,238232,12.0.0,"*This passive upgrades Landslide to also grant 1% potency to damage and healing done, and damage shield strength per stack.",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Infectious Claws,Werewolf,"Shred enemies in front of you with your tainted claws, dealing [5765 / 5828 / 5891 / 5955] Disease Damage and an additional [9600 / 9700 / 9810 / 9910] Disease Damage over 20 seconds. Enemies hit by the initial hit are afflicted with the Diseased status effect.",Werewolf-Infectious Claws,58862,1.5.2,* Added some new werewolf abilities: ** Hircine's Bounty: This ability is a large heal that costs magicka. ** Infectious Claws: This ability instantly deals damage to all enemies in front of you and causes disease damage over time. ** Piercing Howl: This ability deals high damage and stuns your enemy.,Physical Damage,,Disease Damage,"Shred enemies in front of you with your tainted claws, dealing [5955 / 6020 / 6086 / 6151] Disease Damage and an additional 9920 Disease Damage over 20 seconds. You are healed for [63 / 64 / 65 / 66]% of the damage over time caused. Enemies hit by the initial hit are afflicted with the Diseased status effect.",Damage Over Time,,9,3442 Stamina,Cone,Instant,Reduce Healing,,ON-skill-Infectious Claws.jpg,Werewolf using Infectious Claws,,,"Shred enemies in front of you with your tainted claws, dealing 5955 Disease Damage and an additional 9920 Disease Damage over 20 seconds. Afflicts enemies with Major Defile for [2 / 2.7 / 3.3 / 4] seconds, reducing their healing received and damage shield strength by 12%. Enemies hit by any part of the ability are afflicted with the Diseased status effect.",Claws of Anguish,58876,Afflicts enemies with Major Defile and each tick now also applies the Diseased status effect.,Claws of Life,58907,Werewolf-Claws of Life,The damage over time heals you for a portion of the damage caused.,Werewolf-Claws of Anguish,Leech Health,,20 seconds,Stamina Cost,Stamina,,Heal Self,7 meters,,,Stamina Cost,,,,,,,
Online:Inferno,Ardent Flame,"Activate an aura of flames which launches a wave of flame around you every 5 seconds, dealing [4612 / 4662 / 4713 / 4764] Flame Damage to enemies inside. While slotted on either bar, you gain Major Prophecy and Savagery, increasing your Spell Critical and Weapon Critical rating by 2629.",Ardent Flame-Inferno,34061,1.6.5,"* This ability has completely changed. It can now be toggled, has no cost, and deals no area of effect damage. Instead, when toggled on, Inferno will fire a projectile at the nearest target within 15 meters while in combat. In addition, Inferno provides the Major Prophecy buff while active. * Flames of Oblivion: This ability now provides the same effect as Inferno, as well as providing the Major Savagery buff while active. * Sea of Flames: This ability provides the same effect as Inferno, in addition to restoring Magicka to you whenever an enemy is killed by one of the projectiles. * Updated the visual effects for Inferno and both morphs.",Fire Damage,,Direct Damage,"Radius: 15 meters. Activate an aura of embers which cauterizes the wounds of you or up to 6 nearby allies every 3 seconds, healing for [3175 / 3209 / 3244 / 3279] Health. While slotted on either bar, you gain Major Prophecy and Savagery, increasing your Spell Critical and Weapon Critical rating by 2629.",Spell Critical,,42,4050 Magicka,Area,Instant,Weapon Critical,,ON-skill-Inferno.jpg,Inferno,,,"Activate an aura of flames which launches a wave of flames every 5 seconds, dealing [5240 / 5297 / 5355 / 5412] Flame Damage to enemies inside. Each hit has a 15% chance of applying Burning. While slotted on either bar, you gain Major Prophecy and Savagery, increasing your Spell Critical and Weapon Critical rating by 2629.",Incinerate,34080,Increases the damage of the ability and chances of applying Burning.,Cauterize,34100,Ardent Flame-Cauterize,Now heals allies instead of damaging enemies. Increases radius and tick frequency.,Ardent Flame-Incinerate,Multiple Strikes,,15 seconds,Multiple Targets,Magicka,,Heal Self,8 meters,,,Heal Others,,,,Slotted Effect,,,
Online:Infest,Beasts of the Hunt,"Sharp-as-Night provokes a cloud of fetcherflies to swarm an enemy, dealing 4720 Magic Damage over 8 seconds. The fetcherflies rip through the enemy's flesh, afflicting them with Minor Vulnerability for the duration, increasing their damage taken by 5%.",Companion-Infest,186485,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,11,12 seconds,Enemy,0.4 seconds,,,,,,,,,,,,,,,,,Necrom,8 seconds,,,28 meters,,,Magic Damage,Damage Over Time,,,,,,Increase Damage Taken,,
Online:Inhale,Ardent Flame,"Let the fire within draw heat into your core, restoring 15% of your missing Magicka and Stamina every 2 seconds over 4 seconds. When this ability completes, you release this heat as a blast of fire that deals 2154 Flame Damage to nearby enemies.",Draconic Power-Inhale,33697,1.1.2,* This ability's initial life drain morphs can now hit a maximum of three targets. This also applies to Inhale's morphs.,Fire Damage,,Area of Effect,"Let the fire within draw heat into your heart, restoring 12% of your missing Health and 15% of your missing Magicka and Stamina every 2 seconds over 4 seconds. When this ability completes, you release this heat as a blast of fire that deals 2969 Flame Damage to nearby enemies.",Heal Self,,42,3510 Magicka,Area,Instant,Leech Health,,ON-skill-Inhale.jpg,Core of Flame...,,,"Let the fire within draw heat into your soul, restoring 15% of your missing Magicka and Stamina every 2 seconds over 4 seconds. Much of this heat is drawn from enemies around you. Those that are casting are interrupted, set Off Balance, and stunned for 2 seconds. When this ability completes, you release this heat as a blast of fire that deals 2969 Flame Damage to nearby enemies.",Soul of Flame,33715,Initial hit interrupts enemies that are casting. Final explosion damage increased.,Heart of Flame,33732,Draconic Power-Draw Essence,Adds a heal based on your mission Health.,Draconic Power-Deep Breath,Fire Damage,,4 seconds,Interrupt,Magicka,,Stun,8 meters,,,Off-Balance,,,,Restore Magicka,,,
